Index,Vendor,Zip Code
1,Ackermann Maple Farm,05647
2,African Alliance of RI (AARI),02907
3,Afterburn Hot Sauce,03304
4,Akinto-Travel Water/Ancop,02116
5,Allandale Farm,02467
6,American Vinegar Works LLC,01852
7,Barry’s Hot Sauce,02139
8,Beckah’s Bangin’ Butter,01915
9,BeReal Doughs/ Love and Light Nourishing Foods LLC,02675
10,Beth Bakes,02842
11,BOLA Granola,01230
12,"Boston Food Forest Coalition, Inc.",02126
13,Boston Area Gleaners,02452
14,Boston Book Festival,02139
15,Boston Organics,02129
16,Boston Solar,01801
17,Boston Veg Food Fest,02120
18,Brewer’s Crackers,02143
19,Cape Cod Sweets,02576
20,The Local Scoop,02653
21,Commonwealth Kitchen,02121
22,Crooked Stick Pop,01027
23,Double Chin,02111
24,Effie’s Homemade,02136
25,Eloti Food Truck,02149
26,Goodnow Farms Chocolate,01776
27,Grateful Burger,01915
28,Heiwa Tofu,04856
29,Hometown Poké,02906
30,Indelish,02481
31,Kitchen Garden Farm,01375
32,Kitchen Magic,01752
33,Koy,02109
34,Little Acre Gourmet,03820
35,Lost Art Cultured Food,02823
36,Makomas,02151
37,Maple Valley Creamery,01035
38,Mass Department of Agricultural Resources,02114
39,Meal Mantra,02461
40,Mela Indian Restaurant,02118
41,MOJO Cold Brewed Coffee,01984
42,Mr. Tamole,02131
44,Dairy Promotion Board,02114
45,Nashoba Brook Bakery,01742
46,Nicolena’s Cheesecake Truck,02601
47,Nirvana the Taste of India,02138
48,NOBL Coffee,02115
49,North Square Oyster,02113
50,Old Friends Farm,01002
51,onebitesweet,01702
52,Our Family Farms,01301
54,Prophecy Chocolate,02457
55,Qs Nuts,02144
56,R&S Jamaican Restaurant,02131
57,Real Pickles,01301
58,Red Apple Farm,01331
59,Seaview Farm,01966
60,Sisters of Anarchy Ice Cream,05482
61,Somerville Chocolate,02143
62,Sugar Bob’s Finest Kind,05701
63,"Sustainable Food Solutions Inc, Bug Bite Farm",01915
64,Taco Party,02144
65,Tamim Teas,02885
66,Tasting Counter,02143
67,Taza Chocolate,02143
68,"The Baklava Project, LLC",02081
69,The Farmer’s Daughter,02356
70,The Green Crab R&D Project,02633
71,Rose F Kennedy Greenway,02110
72,The Spota,01801
73,Whoopie Wagon,01983
74,Thistle’s All Natural,03263
75,UPrise Foods,10956
76,Venus Wafers,02043
77,Waku,20170